category,bodytrack,ntail-moses
runtime,29.385730743408203,75.96131920814514
llc_references,40025749.064748205,26943185.170454547
llc_misses,2708472.661870504,16097802.940340908
instructions,26395138288.956833,1086275177.059659
cycles,11477148207.877697,827876827.4147726
stall_cycles,1074751301.3309352,360007317.3863637
intra_coh,8088803.417266187,758146.0795454546
inter_coh,0.6474820143884892,50.38352272727273
wall_cycles,2114448814.4244604,2105236687.997159
llc_size,21657526.33093525,199124247.27272725
local_mem,215250398.84892088,2930911418.181818
remote_mem,6563029.64028777,23508247.27272727
